 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> novembre 19, 2018 
 ==================================================================

 Disk File Name = SRIM Outputs\Carbon in NIT.txt

 Ion = Carbon [6] , Mass = 12 amu

 Target Density =  3,4400E+00 g/cm3 = 8,2898E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ag     47    010,02    043,26   
     Br     35    010,02    032,04   
      I     53    000,40    002,03   
      C      6    021,44    010,31   
      N      7    004,91    002,75   
      O      8    011,82    007,57   
      S     16    000,30    000,38   
      H      1    041,08    001,66   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 350,00 MeV   4,525E-01  2,064E-04    1,28 mm    50,80 um    23,43 um  
 375,00 MeV   4,301E-01  1,940E-04    1,45 mm    56,10 um    26,31 um  
 400,00 MeV   4,090E-01  1,830E-04    1,62 mm    61,45 um    29,32 um  
 450,00 MeV   3,732E-01  1,646E-04    1,99 mm    81,31 um    35,77 um  
 500,00 MeV   3,440E-01  1,497E-04    2,40 mm    99,96 um    42,75 um  
 550,00 MeV   3,195E-01  1,374E-04    2,83 mm   118,10 um    50,25 um  
 600,00 MeV   2,988E-01  1,270E-04    3,30 mm   136,05 um    58,25 um  
 650,00 MeV   2,810E-01  1,181E-04    3,81 mm   153,98 um    66,74 um  
 700,00 MeV   2,655E-01  1,105E-04    4,34 mm   171,98 um    75,70 um  
 800,00 MeV   2,398E-01  9,789E-05    5,49 mm   237,96 um    95,01 um  
 900,00 MeV   2,195E-01  8,797E-05    6,76 mm   299,00 um   116,06 um  
   1,00 GeV   2,029E-01  7,995E-05    8,13 mm   358,07 um   138,78 um  
   1,10 GeV   1,891E-01  7,332E-05    9,62 mm   416,34 um   163,08 um  
   1,20 GeV   1,775E-01  6,774E-05   11,20 mm   474,37 um   188,89 um  
   1,30 GeV   1,675E-01  6,298E-05   12,89 mm   532,43 um   216,14 um  
   1,40 GeV   1,589E-01  5,887E-05   14,67 mm   590,67 um   244,77 um  
   1,50 GeV   1,513E-01  5,529E-05   16,54 mm   649,18 um   274,70 um  
   1,60 GeV   1,446E-01  5,213E-05   18,51 mm   707,97 um   305,90 um  
   1,70 GeV   1,387E-01  4,932E-05   20,56 mm   767,08 um   338,29 um  
   1,80 GeV   1,334E-01  4,682E-05   22,69 mm   826,49 um   371,83 um  
   2,00 GeV   1,243E-01  4,252E-05   27,21 mm     1,05 mm   442,21 um  
   2,25 GeV   1,151E-01  3,818E-05   33,28 mm     1,36 mm   535,86 um  
   2,50 GeV   1,077E-01  3,467E-05   39,80 mm     1,65 mm   635,21 um  
   2,75 GeV   1,016E-01  3,177E-05   46,74 mm     1,92 mm   739,71 um  
   3,00 GeV   9,647E-02  2,934E-05   54,08 mm     2,19 mm   848,85 um  
   3,25 GeV   9,212E-02  2,726E-05   61,79 mm     2,45 mm   962,18 um  
